msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,1,3,2,31,0,1,0,.023319539
1600,2,2,2,31,0,1,0,.27527317
1600,3,1,2,31,0,1,0,.048841033
1600,2,1,2,31,0,1,0,.063083932
1600,1,1,2,31,0,1,0,.019690931
1600,3,3,2,31,0,1,0,.28669167
1600,2,3,2,31,0,1,0,.087283202
1600,3,2,2,31,0,1,0,.15177161
1600,2,1,2,31,0,1,1,.065667354
1600,2,2,2,31,0,1,1,.18068202
1600,3,2,2,31,0,1,1,.15865393
1600,2,3,2,31,0,1,1,.069610894
1600,1,1,2,31,0,1,1,.053852648
1600,1,3,2,31,0,1,1,.058413923
1600,3,3,2,31,0,1,1,.25927964
1600,1,2,2,31,0,1,1,.12062377
1600,3,1,2,31,0,1,1,.033215798
1600,3,1,2,42,0,1,0,.054152615
1600,1,1,2,42,0,1,0,.0085473536
1600,3,2,2,42,0,1,0,.18939203
1600,1,2,2,42,0,1,0,.050220069
1600,2,1,2,42,0,1,0,.050251015
1600,3,3,2,42,0,1,0,.3520937
1600,1,3,2,42,0,1,0,.032584012
1600,2,2,2,42,0,1,0,.18690325
1600,2,3,2,42,0,1,0,.075855985
1600,3,2,2,42,0,1,1,.19453183
1600,2,3,2,42,0,1,1,.0374442
1600,2,2,2,42,0,1,1,.14296669
1600,3,3,2,42,0,1,1,.34218079
1600,2,1,2,42,0,1,1,.050932325
1600,1,2,2,42,0,1,1,.11486931
1600,1,3,2,42,0,1,1,.050290335
1600,1,1,2,42,0,1,1,.022612467
1600,3,1,2,42,0,1,1,.044172034
1600,2,2,2,44,0,0,0,.17322509
1600,1,1,2,44,0,0,0,.040263973
1600,3,2,2,44,0,0,0,.20039742
1600,1,3,2,44,0,0,0,.051654257
1600,2,1,2,44,0,0,0,.046736028
1600,1,2,2,44,0,0,0,.083908439
1600,2,3,2,44,0,0,0,.073732346
1600,3,1,2,44,0,0,0,.079977587
1600,3,3,2,44,0,0,0,.25010487
1600,2,1,2,44,1,0,0,.047166992
1600,3,1,2,44,1,0,0,.082147077
1600,1,2,2,44,1,0,0,.077857107
1600,2,2,2,44,1,0,0,.16827558
1600,1,3,2,44,1,0,0,.051731765
1600,2,3,2,44,1,0,0,.07698527
1600,3,3,2,44,1,0,0,.26173994
1600,1,1,2,44,1,0,0,.038951252
1600,3,2,2,44,1,0,0,.19514504
