region,msa,race,income,age,naics,wfh,essential,sick,msaname,raw_age,N,pr_type_ineq,binwt,nbin,fillinMEPS
1,5600,1,1,2,54,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",23.873062,308.249651928063,.00036107999,2025.43640105083,517,0
1,5600,1,1,2,55,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",21,7.784823656093863,9.1190495e-06,27.31503931506573,53,0
1,5600,1,1,2,55,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",21,4.116440656731797,4.8219495e-06,27.31503931506573,53,0
1,5600,1,1,2,55,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",21,4.643406284685035,5.4392308e-06,27.31503931506573,53,0
1,5600,1,1,2,55,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",21,2.455329402489288,2.8761435e-06,27.31503931506573,53,0
1,5600,1,1,2,56,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",24.366646,3397.718490302138,.0039800471,10982.91707638054,517,0
1,5600,1,1,2,56,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",24.366646,2155.435515975002,.0025248516,10982.91707638054,517,0
1,5600,1,1,2,56,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",24.366646,520.5934296506128,.00060981698,10982.91707638054,517,0
1,5600,1,1,2,56,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",24.366646,330.2526594992814,.00038685408,10982.91707638054,517,0
1,5600,1,1,2,61,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",22.098898,3221.962897365906,.0037741691,11763.70007973738,517,0
1,5600,1,1,2,61,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",22.098898,1975.621851855896,.0023142199,11763.70007973738,517,0
1,5600,1,1,2,61,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",22.098898,1955.409943515442,.0022905441,11763.70007973738,517,0
1,5600,1,1,2,61,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",22.098898,1199.005307262757,.0014045006,11763.70007973738,517,0
1,5600,1,1,2,62,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",23.926395,9222.886198282242,.010803579,23654.36845347299,517,0
1,5600,1,1,2,62,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",23.926395,6605.113801717758,.0077371518,23654.36845347299,517,0
1,5600,1,1,2,71,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",22.344452,2293.094039607699,.0026861033,6397.207388057812,517,0
1,5600,1,1,2,71,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",22.344452,1601.502975755364,.0018759817,6397.207388057812,517,0
1,5600,1,1,2,71,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",22.344452,566.651793010564,.00066376926,6397.207388057812,517,0
1,5600,1,1,2,71,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",22.344452,395.7511192514305,.00046357821,6397.207388057812,517,0
1,5600,1,1,2,72,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",22.476955,7011.651811482317,.0082133664,28451.82525295328,517,0
1,5600,1,1,2,72,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",22.476955,4890.579119084471,.0057287668,28451.82525295328,517,0
1,5600,1,1,2,72,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",22.476955,1206.938047228449,.001413793,28451.82525295328,517,0
1,5600,1,1,2,72,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",22.476955,841.8310222047634,.000986111,28451.82525295328,517,0
1,5600,1,1,2,81,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",23.954241,1927.092704126771,.0022573734,5588.265715056245,517,0
1,5600,1,1,2,81,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",23.954241,1222.625605156485,.0014321691,5588.265715056245,517,0
1,5600,1,1,2,81,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",23.954241,359.3166936304214,.00042089931,5588.265715056245,517,0
1,5600,1,1,2,81,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",23.954241,227.9650527719614,.00026703556,5588.265715056245,517,0
1,5600,1,1,2,92,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",23.068995,712.9127304553986,.00083509751,2611.980361872192,517,0
1,5600,1,1,2,92,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",23.068995,461.087234556675,.00054011209,2611.980361872192,517,0
1,5600,1,1,3,0,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.290714,18688.6882352829,.021891708,135650.0094686688,152,0
1,5600,1,1,3,0,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.290714,17281.31283670664,.020243125,135650.0094686688,152,0
1,5600,1,1,3,11,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",34.589745,15.6888120174408,.000018377688,246.8678702116084,55,0
1,5600,1,1,3,11,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",34.589745,23.3111879825592,.000027306449,246.8678702116084,55,0
1,5600,1,1,3,22,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",35,12.30637609958649,.000014415543,164.8553666104735,112,0
1,5600,1,1,3,22,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",35,6.693623334169388,7.8408311e-06,164.8553666104735,112,0
1,5600,1,1,3,23,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.615177,978.8822708634628,.0011466511,3816.724760647212,112,0
1,5600,1,1,3,23,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.615177,1496.2892982455,.0017527356,3816.724760647212,112,0
1,5600,1,1,3,23,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.615177,42.64405726456443,.000049952741,3816.724760647212,112,0
1,5600,1,1,3,23,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.615177,65.18439287132223,.00007635622,3816.724760647212,112,0
1,5600,1,1,3,31,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",34.314606,441.8759529590607,.00051760825,3974.933802442194,264,0
1,5600,1,1,3,31,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",34.314606,626.1240470409393,.00073343434,3974.933802442194,264,0
1,5600,1,1,3,42,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",35.635975,447.0203287601471,.00052363431,1286.768702925001,264,0
1,5600,1,1,3,42,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",35.635975,486.9796712398529,.00057044224,1286.768702925001,264,0
1,5600,1,1,3,44,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.060471,3575.8525313009,.0041887113,9707.973024293777,112,0
1,5600,1,1,3,44,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.060471,2381.369566297943,.0027895081,9707.973024293777,112,0
1,5600,1,1,3,44,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.060471,1466.889678528718,.0017182973,9707.973024293777,112,0
1,5600,1,1,3,44,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.060471,976.8877231338258,.0011443148,9707.973024293777,112,0
1,5600,1,1,3,48,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",34.4687,2218.996398448944,.0025993059,5183.626352234235,264,0
1,5600,1,1,3,48,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",34.4687,2861.003601551056,.0033513457,5183.626352234235,264,0
1,5600,1,1,3,51,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",32.716618,292.3736154906487,.00034248299,906.4320561775762,112,0
1,5600,1,1,3,51,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",32.716618,127.3624851830268,.00014919091,906.4320561775762,112,0
1,5600,1,1,3,51,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",32.716618,177.1114029568388,.0002074662,906.4320561775762,112,0
1,5600,1,1,3,51,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",32.716618,77.15247628272034,.000090375499,906.4320561775762,112,0
1,5600,1,1,3,52,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.285309,284.0101888657745,.00033268615,1206.108036069456,112,0
1,5600,1,1,3,52,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.285309,105.7247616766754,.00012384473,1206.108036069456,112,0
1,5600,1,1,3,52,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.285309,231.9281621711804,.00027167791,1206.108036069456,112,0
1,5600,1,1,3,52,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.285309,86.33686618632539,.00010113398,1206.108036069456,112,0
1,5600,1,1,3,53,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.729446,599.831774523672,.00070263585,1723.604819706324,264,0
1,5600,1,1,3,53,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.729446,468.9896376224194,.00054936891,1723.604819706324,264,0
1,5600,1,1,3,53,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.729446,198.7680714817677,.00023283456,1723.604819706324,264,0
1,5600,1,1,3,53,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.729446,155.4105163721408,.00018204605,1723.604819706324,264,0
1,5600,1,1,3,54,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.276031,564.3467030958993,.000661069,1670.969420480065,112,0
1,5600,1,1,3,54,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.276031,234.4651108900493,.00027464965,1670.969420480065,112,0
1,5600,1,1,3,54,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.276031,446.6299975371697,.00052317709,1670.969420480065,112,0
1,5600,1,1,3,54,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.276031,185.5581884768804,.00021736066,1670.969420480065,112,0
1,5600,1,1,3,55,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",31,14.11505454738403,.000016534208,34.94434619736104,85,0
1,5600,1,1,3,55,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",31,10.97149616520142,.00001285188,34.94434619736104,85,0
1,5600,1,1,3,55,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",31,2.764573157236327,3.2383882e-06,34.94434619736104,85,0
1,5600,1,1,3,55,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",31,2.148876130178223,2.5171680e-06,34.94434619736104,85,0
1,5600,1,1,3,56,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.484997,1942.131665132444,.0022749901,10561.4787711978,112,0
1,5600,1,1,3,56,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.484997,2197.626754202444,.0025742739,10561.4787711978,112,0
1,5600,1,1,3,56,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.484997,262.3633082551624,.00030732926,10561.4787711978,112,0
1,5600,1,1,3,56,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.484997,296.8782373996709,.00034775966,10561.4787711978,112,0
1,5600,1,1,3,61,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.217705,1200.938269876189,.0014067647,4879.366861511924,264,0
1,5600,1,1,3,61,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.217705,664.2563118708657,.00077810191,4879.366861511924,264,0
1,5600,1,1,3,61,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.217705,668.2091786889509,.00078273227,4879.366861511924,264,0
1,5600,1,1,3,61,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.217705,369.5961530478521,.00043294055,4879.366861511924,264,0
1,5600,1,1,3,62,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",34.683674,9220.26952713728,.010800514,33850.57895291496,264,0
1,5600,1,1,3,62,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",34.683674,8694.73047286272,.010184905,33850.57895291496,264,0
1,5600,1,1,3,71,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.50444,793.3807396005431,.00092935679,3111.108561100265,112,0
1,5600,1,1,3,71,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.50444,757.9205505330895,.00088781916,3111.108561100265,112,0
1,5600,1,1,3,71,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.50444,186.0061750607884,.00021788542,3111.108561100265,112,0
1,5600,1,1,3,71,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.50444,177.692620412751,.00020814703,3111.108561100265,112,0
1,5600,1,1,3,72,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",33.947922,2289.786254500092,.0026822286,12312.99201875827,112,0
1,5600,1,1,3,72,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",33.947922,2534.289595331013,.0029686368,12312.99201875827,112,0
1,5600,1,1,3,72,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",33.947922,326.0540128028938,.00038193582,12312.99201875827,112,0
1,5600,1,1,3,72,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",33.947922,360.8700552457026,.00042271891,12312.99201875827,112,0
1,5600,1,1,3,81,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.350193,1901.223123709761,.00222707,6309.707015038741,264,0
1,5600,1,1,3,81,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.350193,2010.432378728784,.0023549965,6309.707015038741,264,0
1,5600,1,1,3,81,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",34.350193,232.008742035546,.0002717723,6309.707015038741,264,0
1,5600,1,1,3,81,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",34.350193,245.3356901247123,.0002873833,6309.707015038741,264,0
1,5600,1,1,3,92,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",34.043835,571.2380307912827,.00066914147,3989.208440015884,264,0
1,5600,1,1,3,92,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",34.043835,523.7619365751743,.00061352854,3989.208440015884,264,0
1,5600,1,1,4,0,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.750824,11724.64804244041,.013734114,125607.016633983,157,0
1,5600,1,1,4,0,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.750824,25919.35195755959,.030361623,125607.016633983,157,0
1,5600,1,1,4,11,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",42.583332,19.69178295135498,.000023066721,163.2791256311695,69,0
1,5600,1,1,4,11,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",42.583332,28.30821704864502,.000033159911,163.2791256311695,69,0
1,5600,1,1,4,21,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",47.619999,29.39682006835938,.000034435085,92.12522323777519,62,0
1,5600,1,1,4,21,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",47.619999,70.60317993164063,.000082703729,92.12522323777519,62,0
1,5600,1,1,4,22,0,1,0,"NEW YORK-NEWARK, NY-NJ-PA",43.099998,27.00630903244019,.000031634871,51.08278878010356,26,0
1,5600,1,1,4,22,0,1,1,"NEW YORK-NEWARK, NY-NJ-PA",43.099998,42.99369096755981,.000050362298,51.08278878010356,26,0
1,5600,1,1,4,23,0,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.898304,654.5733340109634,.00076675945,2813.478977080231,232,0
1,5600,1,1,4,23,0,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.898304,1704.325714913483,.0019964268,2813.478977080231,232,0
1,5600,1,1,4,23,1,0,0,"NEW YORK-NEWARK, NY-NJ-PA",44.898304,33.0494433928428,.000038713726,2813.478977080231,232,0
1,5600,1,1,4,23,1,0,1,"NEW YORK-NEWARK, NY-NJ-PA",44.898304,86.05149845144174,.00010079971,2813.478977080231,232,0
