,age_i,age_j,contactlvl,num_contact_per_person_day,contact_time_min_per_person_day,num_people
0,1,1,hh,0.18991759710505146,113.95055841503691,3002516
1,1,1,neighbor,0.24112941822631417,7.344276762182386,3002516
2,1,1,school,3.89206428252131,1541.1527376311167,3002516
3,1,1,work,0.12535900380324885,32.15985252785498,3002516
4,1,2,hh,0.09547613100213291,57.285678808514334,3002516
5,1,2,neighbor,0.8834092266451683,31.15359303954648,3002516
6,1,2,school,1.4580392983688824,435.4415050038536,3002516
7,1,2,work,7.394186213085066,2008.9196975426619,3002516
8,1,3,hh,0.05107176118732503,30.643056705777074,3002516
9,1,3,neighbor,0.2828225096505955,10.099140530924927,3002516
10,1,3,school,1.874069352944692,573.3105121188694,3002516
11,1,3,work,2.329545709596316,603.2401289996226,3002516
12,1,4,hh,0.014620680282554276,8.772408150144713,3002516
13,1,4,neighbor,0.2166902274941637,7.596865469188008,3002516
14,1,4,school,1.0280978629986446,311.5523380703396,3002516
15,1,4,work,1.0053879409618374,249.6133661850403,3002516
16,1,5,hh,0.07890992824520383,47.34595707484654,3002516
17,1,5,neighbor,3.198155354105337,107.90509733004082,3002516
18,1,5,school,0.23238481850259834,72.28077353371515,3002516
19,1,5,work,2.6315518694327156,498.9939829321469,3002516
20,1,6,hh,0.05850574316886754,35.103445768356316,3002516
21,1,6,neighbor,2.240001332053604,74.63429565934672,3002516
22,1,6,school,0.03485028029364698,10.876306716133566,3002516
23,1,6,work,1.0743582820081536,138.96310742462381,3002516
24,2,1,hh,0.050115844688582545,30.06950692796145,8300953
25,2,1,neighbor,0.13262771623888456,4.61002903325803,8300953
26,2,1,school,0.10153567296203522,29.28860745650467,8300953
27,2,1,work,0.21594366338800108,56.9959273485469,8300953
28,2,2,hh,0.05597934897800413,33.58760940744995,8300953
29,2,2,neighbor,2.54082383792695,104.29380041015648,8300953
30,2,2,school,0.5660110301433301,144.2552201308969,8300953
31,2,2,work,10.641271318670494,2718.8745865781916,8300953
32,2,3,hh,0.012405016991232344,7.443010184934621,8300953
