age_i,naics_i,work_poi_i,age_j,naics_j,work_poi_j,contactlvl,num_people,num_contact_per_person_day,contact_time_min_per_person_day
1,0,0,1,72,1,hh,418309,.0047859358601272,2.871561527252197
1,0,0,1,72,1,neighbor,418309,.0000286869267256,.0005295128612488
1,0,0,1,72,1,restaurants,418309,.0000956230942393,.0057728667743504
1,0,0,1,72,1,retail,418309,.0000310775067192,.0004010411212221
1,0,0,1,72,1,school,418309,.489410936832428,208.4542083740234
1,0,0,1,72,1,services,418309,9.56230906013e-06,.000264915808657
1,0,0,1,92,0,hh,418309,.0002677446464077,.1606467813253403
1,0,0,1,92,0,school,418309,.0183739773929119,7.687869548797607
1,0,0,2,0,0,entertainment,418309,.0460879392921925,1.732278227806091
1,0,0,2,0,0,hh,418309,.7513823509216309,450.8294067382813
1,0,0,2,0,0,neighbor,418309,.1679954302380793,5.916266851127148
1,0,0,2,0,0,restaurants,418309,.0487032320133949,1.965586663864087
1,0,0,2,0,0,retail,418309,.1422919438628014,4.782467323588207
1,0,0,2,0,0,school,418309,.9134539365768433,285.2329711914063
1,0,0,2,0,0,services,418309,.0162965654744767,.6547816302627325
1,0,0,2,0,0,work,418309,.0017953235656023,.4085493683815002
1,0,0,2,11,0,entertainment,418309,.0006095971912146,.0227607004344463
1,0,0,2,11,0,hh,418309,.0179412830621004,10.76476955413818
1,0,0,2,11,0,neighbor,418309,.0019268053015367,.0631134779941931
1,0,0,2,11,0,restaurants,418309,.0003657583147287,.0140331350266933
1,0,0,2,11,0,retail,418309,.0012431001409823,.0414804537140299
1,0,0,2,11,0,school,418309,.0146948788315058,3.85899543762207
1,0,0,2,11,0,services,418309,.0001410440600011,.0054243310805759
1,0,0,2,21,0,entertainment,418309,.000076498472481,.0024841027334332
1,0,0,2,21,0,hh,418309,.001214413321577,.7286480069160461
1,0,0,2,21,0,neighbor,418309,.0002653540786923,.0068065020786889
1,0,0,2,21,0,restaurants,418309,.0000693267429597,.0033903254661709
1,0,0,2,21,0,retail,418309,.0002151519584004,.0070928004570305
1,0,0,2,21,0,services,418309,.0000191246181203,.0007587293512188
1,0,0,2,22,0,entertainment,418309,.0004207415913697,.0139793613925576
1,0,0,2,22,0,hh,418309,.0138677386566997,8.320643424987793
1,0,0,2,22,0,neighbor,418309,.0017594648206796,.0501513486815384
1,0,0,2,22,0,restaurants,418309,.0004637719830498,.0196379944682121
1,0,0,2,22,0,retail,418309,.0015586564550176,.0493481084704399
1,0,0,2,22,0,school,418309,.00002151519584,.0004247258766554
1,0,0,2,22,0,services,418309,.0001529969399598,.0060516696830746
1,0,0,2,23,0,entertainment,418309,.0024790286552161,.082415334880352
1,0,0,2,23,0,hh,418309,.0897733494639397,53.86400985717773
1,0,0,2,23,0,neighbor,418309,.0100045660256001,.303223259979859
1,0,0,2,23,0,restaurants,418309,.0026152916252613,.09801085293293
1,0,0,2,23,0,retail,418309,.0090172575496581,.2798827308060936
1,0,0,2,23,0,school,418309,.0084506906569004,2.20453405380249
1,0,0,2,23,0,services,418309,.0009275439633711,.0294490508676972
1,0,0,2,31,0,entertainment,418309,.002223236951977,.0684671252965927
1,0,0,2,31,0,hh,418309,.0810525268316269,48.63151550292969
1,0,0,2,31,0,neighbor,418309,.0088570888765389,.2631606790237129
1,0,0,2,31,0,restaurants,418309,.0022925636731088,.0836033970117569
1,0,0,2,31,0,retail,418309,.0088738226622809,.2671837692905683
1,0,0,2,31,0,school,418309,.0220315605401993,6.187328815460205
1,0,0,2,31,0,services,418309,.0007841093424759,.0242236667090765
1,0,0,2,42,0,entertainment,418309,.0010064330417663,.0315200872719288
1,0,0,2,42,0,hh,418309,.0294136628508568,17.64819717407227
1,0,0,2,42,0,neighbor,418309,.0044321303794277,.1561128535540774
1,0,0,2,42,0,restaurants,418309,.0008271397673525,.0311114601790905
1,0,0,2,42,0,retail,418309,.0032607473563075,.1044498851169919
1,0,0,2,42,0,school,418309,.0396596789360046,9.830776214599609
1,0,0,2,42,0,services,418309,.0003059938990191,.0095893430116121
1,0,0,2,42,2,entertainment,418309,.0000597644320806,.0017117728712037
1,0,0,2,42,2,hh,418309,.001797714154236,1.078628540039063
1,0,0,2,42,2,neighbor,418309,.000262963509158,.0095366683090106
1,0,0,2,42,2,restaurants,418309,.000076498472481,.0016813088441268
1,0,0,2,42,2,retail,418309,.0002940409935945,.0107656986474467
1,0,0,2,42,2,school,418309,.0020535059738904,.5691791176795959
1,0,0,2,42,2,services,418309,7.17173179510e-06,.0002603338662084
1,0,0,2,44,0,entertainment,418309,.0025459649041295,.078808531165123
1,0,0,2,44,0,hh,418309,.0705172494053841,42.31034851074219
1,0,0,2,44,0,neighbor,418309,.0448018082679482,2.088034467538819
1,0,0,2,44,0,restaurants,418309,.0028615209739655,.0979715213179588
1,0,0,2,44,0,retail,418309,.0091439582338353,.2785061021786532
1,0,0,2,44,0,school,418309,.1419811695814133,36.94011306762695
1,0,0,2,44,0,services,418309,.0009060287679858,.0329733833495993
1,0,0,2,44,2,entertainment,418309,.0022471426054835,.0658082365989685
1,0,0,2,44,2,hh,418309,.0589420720934868,35.36524200439453
1,0,0,2,44,2,neighbor,418309,.0089025096967816,.2722233133972622
1,0,0,2,44,2,restaurants,418309,.0021586914081126,.0767457485198975
1,0,0,2,44,2,retail,418309,.0277808980717964,1.174103659344837
1,0,0,2,44,2,school,418309,.1282975077629089,31.4118766784668
1,0,0,2,44,2,services,418309,.0009108099684454,.0287385561532574
1,0,0,2,48,0,entertainment,418309,.0014319558395073,.0491994246840477
1,0,0,2,48,0,hh,418309,.0547227039933205,32.83362197875977
1,0,0,2,48,0,neighbor,418309,.0062059386782494,.1927631621365435
1,0,0,2,48,0,restaurants,418309,.001403268892318,.0496251843869686
1,0,0,2,48,0,retail,418309,.0048241849776787,.1360623163473065
1,0,0,2,48,0,school,418309,.0260955411940813,5.947770118713379
1,0,0,2,48,0,services,418309,.0005928631971983,.0200814929121407
1,0,0,2,51,0,entertainment,418309,.0006119877798483,.020634438842535
1,0,0,2,51,0,hh,418309,.0169037729501724,10.14226341247559
1,0,0,2,51,0,neighbor,418309,.0024025302068367,.0679553055560973
1,0,0,2,51,0,restaurants,418309,.0007434695144184,.0271423514932394
1,0,0,2,51,0,retail,418309,.002287782428084,.0638575968296209
1,0,0,2,51,0,school,418309,.0148263601586223,3.51462721824646
1,0,0,2,51,0,services,418309,.0002390577328697,.0073525684420019
1,0,0,2,51,3,entertainment,418309,.0000502021248394,.0015974635025486
1,0,0,2,51,3,hh,418309,.0017857612110674,1.071456670761108
1,0,0,2,51,3,neighbor,418309,.0003203373471479,.0093878944026073
1,0,0,2,51,3,restaurants,418309,.0000478115471196,.00128801795654
1,0,0,2,51,3,retail,418309,.0002749164009401,.0090979284007062
1,0,0,2,51,3,school,418309,.0013960971264169,.4033432006835938
1,0,0,2,51,3,services,418309,.0003036033090211,.0180376757198246
1,0,0,2,51,4,entertainment,418309,.0010088236304,.0193566028028727
1,0,0,2,51,4,hh,418309,.0033324647229165,1.999478816986084
1,0,0,2,51,4,neighbor,418309,.0004661625584959,.0142143684679468
1,0,0,2,51,4,restaurants,418309,.000131481749122,.0041097248904407
1,0,0,2,51,4,retail,418309,.0004422568017617,.0138966599479318
1,0,0,2,51,4,school,418309,.003215326461941,1.031659841537476
1,0,0,2,51,4,services,418309,.0000310775044454,.000850154505315
1,0,0,2,52,0,entertainment,418309,.0017857612110674,.0582494363188744
1,0,0,2,52,0,hh,418309,.0453420802950859,27.20524787902832
1,0,0,2,52,0,neighbor,418309,.0093615006262553,.364568424411118
1,0,0,2,52,0,restaurants,418309,.0015012825606391,.0503393821418285
1,0,0,2,52,0,retail,418309,.0058091030018659,.1789405624440406
1,0,0,2,52,0,school,418309,.0393847599625587,9.750518798828125
1,0,0,2,52,0,services,418309,.0004661625680455,.0166925419471227
1,0,0,2,52,3,entertainment,418309,.0004733343084808,.0180682633072138
1,0,0,2,52,3,hh,418309,.0124118775129318,7.447126388549805
1,0,0,2,52,3,neighbor,418309,.0013315515702743,.0422556614757923
1,0,0,2,52,3,restaurants,418309,.0004303039168008,.0116366064175963
1,0,0,2,52,3,retail,418309,.0016088585607577,.0429507992230356
1,0,0,2,52,3,school,418309,.0068490039557219,1.563288927078247
1,0,0,2,52,3,services,418309,.0018001047455982,.0526662791671697
1,0,0,2,53,0,entertainment,418309,.00054983276641,.0170255582779646
1,0,0,2,53,0,hh,418309,.0131864240393043,7.911854267120361
1,0,0,2,53,0,neighbor,418309,.0017212155967172,.0527887843709323
1,0,0,2,53,0,restaurants,418309,.0005139741115272,.0172910708934069
1,0,0,2,53,0,retail,418309,.0017618554297769,.0517017528363795
1,0,0,2,53,0,school,418309,.003736472222954,.9093624353408813
1,0,0,2,53,0,services,418309,.000148215795889,.0036812086837017
1,0,0,2,53,2,entertainment,418309,.0002318859915249,.0079195164144039
1,0,0,2,53,2,hh,418309,.0058712577447295,3.522754669189453
1,0,0,2,53,2,neighbor,418309,.0008438738009318,.0238259852558258
1,0,0,2,53,2,restaurants,418309,.0002008084993577,.0062496205791831
1,0,0,2,53,2,retail,418309,.0105783045291901,.598793089389801
1,0,0,2,53,2,school,418309,.0010805409401655,.2669640183448792
1,0,0,2,53,2,services,418309,.0000597644307163,.0028864436972071
1,0,0,2,53,3,entertainment,418309,.0001171382900793,.0031190915033221
1,0,0,2,53,3,hh,418309,.0021873782388866,1.312426924705505
1,0,0,2,53,3,neighbor,418309,.0004159604463894,.0163503421135829
1,0,0,2,53,3,restaurants,418309,.0000717173170415,.0025415546260774
1,0,0,2,53,3,retail,418309,.0002366671542404,.007158366497606
1,0,0,2,53,3,school,418309,.0008390926523134,.2518031299114227
1,0,0,2,53,3,services,418309,.0000980136683211,.0045632335823029
1,0,0,2,54,0,entertainment,418309,.002333203330636,.0807290002703667
1,0,0,2,54,0,hh,418309,.0550980269908905,33.05881500244141
1,0,0,2,54,0,neighbor,418309,.0076857061721967,.2361386453267187
1,0,0,2,54,0,restaurants,418309,.0020845835097134,.0676857009530067
1,0,0,2,54,0,retail,418309,.007288870265711,.217900628093048
1,0,0,2,54,0,school,418309,.0031794677488506,.8788526058197021
1,0,0,2,54,0,services,418309,.0005187552819734,.0188866573007545
1,0,0,2,54,3,entertainment,418309,.0007721564616077,.0234789103269577
1,0,0,2,54,3,hh,418309,.019588390365243,11.7530345916748
1,0,0,2,54,3,neighbor,418309,.0026702748655225,.0856413654692005
1,0,0,2,54,3,restaurants,418309,.0008414831827395,.0278528388589621
1,0,0,2,54,3,retail,418309,.0025603082763155,.0805846732837381
1,0,0,2,54,3,school,418309,.0014869390288368,.4828914403915405
1,0,0,2,54,3,services,418309,.0080777609391589,.6352557285317744
1,0,0,2,55,0,entertainment,418309,.0000143434635902,.000142239354318
1,0,0,2,55,0,hh,418309,.0017403402598575,1.044204115867615
1,0,0,2,55,0,neighbor,418309,.0001506063681518,.0044751328241546
1,0,0,2,55,0,restaurants,418309,.0000621550134383,.0027247767429799
1,0,0,2,55,0,retail,418309,.0001769027148839,.0061565181240439
1,0,0,2,55,0,services,418309,.0000430303903158,.0013000465114601
1,0,0,2,56,0,entertainment,418309,.0018646502867341,.0642863810062408
1,0,0,2,56,0,hh,418309,.0547250956296921,32.83505630493164
1,0,0,2,56,0,neighbor,418309,.0074155708498438,.230952869867906
1,0,0,2,56,0,restaurants,418309,.0019483205396682,.0691594481468201
1,0,0,2,56,0,retail,418309,.0065430100348749,.1890291179333872
1,0,0,2,56,0,school,418309,.0147737674415112,4.145820617675781
1,0,0,2,56,0,services,418309,.0007434695189659,.0219061510142637
1,0,0,2,61,0,entertainment,418309,.0039157657884061,.1343714892864227
1,0,0,2,61,0,hh,418309,.0976024866104126,58.56149291992188
1,0,0,2,61,0,neighbor,418309,.0126963565708138,.3837198327528313
1,0,0,2,61,0,restaurants,418309,.0035237109873378,.1304640090747853
1,0,0,2,61,0,retail,418309,.0109392813255909,.3307276664017991
1,0,0,2,61,0,school,418309,2.856720685958862,786.6498413085938
1,0,0,2,61,0,services,418309,.0012048509261149,.0405455173749942
1,0,0,2,62,0,entertainment,418309,.0047835451550782,.1652008146047592
1,0,0,2,62,0,hh,418309,.1428752392530441,85.72514343261719
1,0,0,2,62,0,neighbor,418309,.0467214415766648,2.182587501127273
1,0,0,2,62,0,restaurants,418309,.0044249583620513,.1530251022359153
1,0,0,2,62,0,retail,418309,.0150199974264069,.447850252850003
1,0,0,2,62,0,school,418309,.0487749502062798,12.11997509002686
1,0,0,2,62,0,services,418309,.0014988919929237,.0475376285903621
1,0,0,2,62,3,entertainment,418309,.0015060637379065,.0511194840073586
1,0,0,2,62,3,hh,418309,.0421363152563572,25.28178977966309
1,0,0,2,62,3,neighbor,418309,.0047429054266104,.1505839955934789
1,0,0,2,62,3,restaurants,418309,.001228756736964,.0372030436992645
1,0,0,2,62,3,retail,418309,.0047715925079501,.1348764086724259
1,0,0,2,62,3,school,418309,.0141378743574023,3.751986503601074
1,0,0,2,62,3,services,418309,.0066792727579923,.3168908166226174
1,0,0,2,71,0,entertainment,418309,.0002557917614467,.0090118525549769
1,0,0,2,71,0,hh,418309,.0045851273462176,2.751076459884644
1,0,0,2,71,0,neighbor,418309,.0012431001700861,.0454399769205338
1,0,0,2,71,0,restaurants,418309,.0002079802216031,.0059841233305633
1,0,0,2,71,0,retail,418309,.000571347960431,.0187985689735797
1,0,0,2,71,0,school,418309,.0127967605367303,3.489167451858521
1,0,0,2,71,0,services,418309,.0001243100177817,.0072292861004826
1,0,0,2,71,4,entertainment,418309,.0110396863892674,.631563663482666
1,0,0,2,71,4,hh,418309,.0178384874016047,10.70309257507324
1,0,0,2,71,4,neighbor,418309,.0034065727386405,.1011202562367544
1,0,0,2,71,4,restaurants,418309,.0007673753425479,.0291531588882208
1,0,0,2,71,4,retail,418309,.0026870088781834,.0817544603123679
1,0,0,2,71,4,school,418309,.0590233542025089,15.02880859375
1,0,0,2,71,4,services,418309,.0002438388842165,.0088403141417075
1,0,0,2,72,0,entertainment,418309,.0006311124307103,.0212383661419153
1,0,0,2,72,0,hh,418309,.0219168122857809,13.15008735656738
1,0,0,2,72,0,neighbor,418309,.0048170133291023,.1445057179080322
1,0,0,2,72,0,restaurants,418309,.0006574087310582,.0227639228105545
1,0,0,2,72,0,retail,418309,.0020941456086803,.0668478143670654
1,0,0,2,72,0,school,418309,.1017860025167465,26.17636680603027
1,0,0,2,72,0,services,418309,.0003083844776484,.0103083269841591
1,0,0,2,72,1,entertainment,418309,.0024527322966605,.0832206755876541
1,0,0,2,72,1,hh,418309,.0774188488721848,46.45130920410156
1,0,0,2,72,1,neighbor,418309,.0093543288348883,.2824155995622277
1,0,0,2,72,1,restaurants,418309,.014976966742779,.8498045105297933
1,0,0,2,72,1,retail,418309,.00864671779118,.2669663925335044
1,0,0,2,72,1,school,418309,.3950237631797791,100.8747024536133
1,0,0,2,72,1,services,418309,.0009466685887674,.0323861413489794
1,0,0,2,92,0,entertainment,418309,.0035356639418751,.1214714422821999
1,0,0,2,92,0,hh,418309,.1095195189118385,65.71170806884766
1,0,0,2,92,0,neighbor,418309,.0128852115594782,.3902807580307126
1,0,0,2,92,0,restaurants,418309,.0035165392328054,.1245748996734619
1,0,0,2,92,0,retail,418309,.0119289809349539,.359923615345906
1,0,0,2,92,0,school,418309,.0065286667086184,1.596204519271851
1,0,0,2,92,0,services,418309,.0012024604129692,.0394105882151052
1,0,0,3,0,0,entertainment,418309,.0134828556329012,.5124715566635132
1,0,0,3,0,0,hh,418309,.1102677658200264,66.16065979003906
1,0,0,3,0,0,neighbor,418309,.0505463650624733,1.741945447400212
1,0,0,3,0,0,restaurants,418309,.0145323192700744,.5700657367706299
1,0,0,3,0,0,retail,418309,.0438503597943054,1.460413408203749
1,0,0,3,0,0,services,418309,.0046687973590451,.217556222807616
1,0,0,3,0,0,work,418309,.0007721564616077,.1723629683256149
1,0,0,3,11,0,entertainment,418309,.0001410440600011,.0043672262690961
1,0,0,3,11,0,hh,418309,.002333203330636,1.399922013282776
1,0,0,3,11,0,neighbor,418309,.000600034909894,.0175551978809381
1,0,0,3,11,0,restaurants,418309,.0001410440631844,.0070125810889294
1,0,0,3,11,0,retail,418309,.0004613814121512,.0141862190903339
1,0,0,3,11,0,services,418309,.0000382492362405,.0010908204512816
1,0,0,3,21,0,entertainment,418309,9.56230906013e-06,.000133434048621
1,0,0,3,21,0,hh,418309,.0004637719830498,.2782631814479828
1,0,0,3,21,0,neighbor,418309,.0000430303912253,.0020728372328449
1,0,0,3,21,0,restaurants,418309,7.17173179510e-06,.0001631967461435
1,0,0,3,21,0,retail,418309,.0000478115471196,.0007657816167921
1,0,0,3,21,0,services,418309,7.17173179510e-06,.0002019240855589
1,0,0,3,22,0,entertainment,418309,.0001601686817594,.0047630262561142
1,0,0,3,22,0,hh,418309,.002192159416154,1.315295696258545
1,0,0,3,22,0,neighbor,418309,.0006860956777928,.0213290745932682
1,0,0,3,22,0,restaurants,418309,.0002055896475213,.0078647769987583
1,0,0,3,22,0,retail,418309,.000867779588134,.0291291123212432
1,0,0,3,22,0,services,418309,.0000836702051856,.0021631138915836
1,0,0,3,23,0,entertainment,418309,.0007100014481694,.0233019627630711
1,0,0,3,23,0,hh,418309,.0137816779315472,8.269006729125977
1,0,0,3,23,0,neighbor,418309,.0029953933235447,.0930116630042903
1,0,0,3,23,0,restaurants,418309,.0007434695144184,.0271708723157644
1,0,0,3,23,0,retail,418309,.0025626988399381,.0789371708178805
1,0,0,3,23,0,services,418309,.0002223236851933,.0098971947008977
1,0,0,3,31,0,entertainment,418309,.0008056245278567,.0276144314557314
1,0,0,3,31,0,hh,418309,.0163300335407257,9.798020362854004
1,0,0,3,31,0,neighbor,418309,.0030336424933921,.0888929149659816
1,0,0,3,31,0,restaurants,418309,.000788890523836,.0275270864367485
1,0,0,3,31,0,retail,418309,.0032511850613446,.1009822302075918
1,0,0,3,31,0,services,418309,.0003059938803744,.0076875705854036
1,0,0,3,42,0,entertainment,418309,.0003538054297678,.0104497233405709
1,0,0,3,42,0,hh,418309,.0046735787764192,2.804147243499756
1,0,0,3,42,0,neighbor,418309,.0013698008106076,.0499206709610007
1,0,0,3,42,0,restaurants,418309,.0003777111996897,.0145773021504283
1,0,0,3,42,0,retail,418309,.0010327294003218,.0288058146834373
1,0,0,3,42,0,services,418309,.0000741078974897,.0015429184641107
1,0,0,3,42,2,entertainment,418309,4.78115453006e-06,.0001321590825683
1,0,0,3,42,2,hh,418309,.0003107750380877,.1864650249481201
1,0,0,3,42,2,neighbor,418309,.0000693267393217,.0015840648266021
1,0,0,3,42,2,restaurants,418309,9.56230906013e-06,.0004716210823972
1,0,0,3,42,2,retail,418309,.0002677446464077,.0130992475897074
1,0,0,3,42,2,services,418309,.00002151519584,.0013911963906139
1,0,0,3,44,0,entertainment,418309,.0005211458774284,.0195160117000341
1,0,0,3,44,0,hh,418309,.0067031788639724,4.021907329559326
1,0,0,3,44,0,neighbor,418309,.0104826813585532,.4796217793482356
1,0,0,3,44,0,restaurants,418309,.0005450516473502,.0183151997625828
1,0,0,3,44,0,retail,418309,.0018981183884534,.0578477164744982
1,0,0,3,44,0,services,418309,.0001553875172249,.0065626588475425
1,0,0,3,44,2,entertainment,418309,.000482896604808,.0153452828526497
1,0,0,3,44,2,hh,418309,.0056561059318483,3.393663644790649
1,0,0,3,44,2,neighbor,418309,.0015586564122714,.0490527617221233
1,0,0,3,44,2,restaurants,418309,.0005283175851218,.0197099819779396
1,0,0,3,44,2,retail,418309,.0066960070898858,.28054488892667
1,0,0,3,44,2,services,418309,.0001625592540222,.0056850396213122
1,0,0,3,48,0,entertainment,418309,.0004661625716835,.0156186548992991
1,0,0,3,48,0,hh,418309,.0078912954777479,4.734777450561523
1,0,0,3,48,0,neighbor,418309,.0022567049545614,.0730254608788528
1,0,0,3,48,0,restaurants,418309,.0004279133281671,.0159344524145126
1,0,0,3,48,0,retail,418309,.0018096670405612,.0580677610632847
1,0,0,3,48,0,services,418309,.0002055896407001,.0065582248935243
1,0,0,3,51,0,entertainment,418309,.0001529969449621,.0051368726417422
1,0,0,3,51,0,hh,418309,.002694180700928,1.616508364677429
1,0,0,3,51,0,neighbor,418309,.0005522233600459,.0155724652158824
1,0,0,3,51,0,restaurants,418309,.0001769027148839,.0044061467051506
1,0,0,3,51,0,retail,418309,.0006526276247314,.0198610552179161
1,0,0,3,51,0,services,418309,.0000502021248394,.0019021824700758
1,0,0,3,51,3,entertainment,418309,.00002151519584,.0005480000399984
1,0,0,3,51,3,hh,418309,.0003179467748851,.1907680630683899
1,0,0,3,51,3,neighbor,418309,.0001004042483146,.0060004987753928
1,0,0,3,51,3,restaurants,418309,.0000191246181203,.0007753040990792
1,0,0,3,51,3,retail,418309,.0000525926989212,.0012027032207698
1,0,0,3,51,3,services,418309,.000131481750941,.0086246251594275
1,0,0,3,51,4,entertainment,418309,.0003514148702379,.0099984351545572
1,0,0,3,51,4,hh,418309,.0005474421777762,.3284653127193451
1,0,0,3,51,4,neighbor,418309,.0000764984743,.0023173709269031
1,0,0,3,51,4,restaurants,418309,.0000382492362405,.0016575464978814
1,0,0,3,51,4,retail,418309,.0001051853978424,.002468636026606
1,0,0,3,51,4,services,418309,7.17173179510e-06,.0000295634745271
1,0,0,3,52,0,entertainment,418309,.0006430653156713,.0227290838956833
1,0,0,3,52,0,hh,418309,.0089694457128644,5.381667613983154
1,0,0,3,52,0,neighbor,418309,.0029786593258905,.1295820890809409
1,0,0,3,52,0,restaurants,418309,.0005283175851218,.0174356494098902
1,0,0,3,52,0,retail,418309,.0018598691349325,.0522882195655257
