age_i,naics_i,contactlvl,age_j,naics_j,num_contact_per_person_day,num_people
1,0,hh,1,0,1.2368449,1126906
1,0,neighbor,1,0,13.396097,1126906
1,0,school,1,0,49.249424,1126906
1,0,hh,2,0,0.63389671,1126906
1,0,neighbor,2,0,8.1076756,1126906
1,0,school,2,0,1.7656442,1126906
1,0,hh,2,11,0.000229833,1126906
1,0,neighbor,2,11,0.002584067,1126906
1,0,hh,2,21,0.03005752,1126906
1,0,neighbor,2,21,0.4011772,1126906
1,0,hh,2,22,0.00542015,1126906
1,0,neighbor,2,22,0.067545116,1126906
1,0,hh,2,23,0.091555998,1126906
1,0,neighbor,2,23,1.1886235,1126906
1,0,hh,2,31,0.15201889,1126906
1,0,neighbor,2,31,1.9654691,1126906
1,0,hh,2,42,0.06103171,1126906
1,0,neighbor,2,42,0.78633708,1126906
1,0,hh,2,44,0.14578767,1126906
1,0,neighbor,2,44,1.8586155,1126906
1,0,hh,2,48,0.061683938,1126906
1,0,neighbor,2,48,0.80583388,1126906
1,0,hh,2,51,0.030474592,1126906
1,0,neighbor,2,51,0.40100062,1126906
1,0,hh,2,52,0.054799601,1126906
1,0,neighbor,2,52,0.7106449,1126906
1,0,hh,2,53,0.029872056,1126906
1,0,neighbor,2,53,0.38376582,1126906
1,0,hh,2,54,0.13744624,1126906
1,0,neighbor,2,54,1.7655154,1126906
1,0,hh,2,55,0.039735347,1126906
1,0,neighbor,2,55,0.51593745,1126906
1,0,hh,2,56,0.070289806,1126906
1,0,neighbor,2,56,0.91769499,1126906
1,0,hh,2,61,0.011447272,1126906
1,0,neighbor,2,61,0.14312285,1126906
1,0,hh,2,62,0.16733073,1126906
1,0,neighbor,2,62,2.2045743,1126906
1,0,hh,2,71,0.013071188,1126906
1,0,neighbor,2,71,0.16435976,1126906
1,0,hh,2,72,0.080036841,1126906
1,0,neighbor,2,72,1.026216,1126906
1,0,hh,2,81,0.066282369,1126906
1,0,neighbor,2,81,0.8598721,1126906
1,0,hh,2,92,0.000574138,1126906
1,0,neighbor,2,92,0.007063588,1126906
1,0,hh,3,0,0.069641121,1126906
1,0,neighbor,3,0,1.9988694,1126906
