"ego","naics","age","sick","wfh","shift","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150","T151","T152","T153","T154","T155","T156","T157","T158","T159","T160","T161","T162","T163","T164","T165","T166","T167","T168","T169","T170","T171","T172","T173","T174","T175","T176","T177","T178","T179","T180"
1,0,0,0,0,0,216907.5,216859.342783838,216850.564394243,216842.467918968,216834.573282139,216826.559510402,216818.201272132,216809.329739084,216799.80831591,216789.517425185,216778.344824857,216766.179293592,216752.906355878,216738.405225524,216722.546474206,216705.190097228,216686.183790353,216665.361305118,216642.540808772,216617.523159218,216590.090148721,216560.002563483,216526.998088226,216490.789022325,216451.059949849,216407.46496028,216359.624825709,216307.123734673,216249.506214331,216186.272873787,216116.876711568,216040.718787682,215957.143380348,215865.432906403,215764.802423581,215756.78929041,215748.415930935,215739.935655736,215731.516791023,215723.267808721,215715.255377717,215707.517242294,215700.071404291,215692.922632277,215686.067061447,215679.49540842,215673.195203406,215667.152318103,215661.351992717,215655.779509465,215650.420617984,215645.261788297,215640.290346101,215635.494527973,215630.863484484,215626.387250749,215622.056696636,215617.863466981,215613.799917085,215587.919213905,215562.246891401,215536.377398936,215510.046059905,215483.080120061,215455.366528449,215426.830750736,215397.42284746,215367.108342517,215335.862249655,215303.665181395,215270.500819876,215236.354303193,215201.211188433,215165.056812666,215127.875897812,215089.652322059,215050.368998051,215010.007814011,214968.549617066,214925.974220561,214882.260423771,214837.386043006,214791.327943004,214744.062063425,214695.563451286,214645.806290707,214594.763924009,214542.408874874,214488.712873209,214433.646843844,214377.180961317,214319.284653663,214259.92659754,214199.074754494,214136.69633715,214072.757792871,214007.224892425,213940.062689382,213871.235522051,213800.707020232,213728.440107547,213654.397003656,213578.539226279,213500.827593222,213421.222224473,213339.682544439,213256.167284453,213170.634485622,213083.041502073,212993.345004711,212901.500985526,212807.464762541,212711.190985455,212612.633642054,212511.744331705,212408.47748102,212302.788094406,212194.623338755,212083.935311283,211970.674214736,211854.789661124,211736.230686283,211614.945745626,211490.882834001,211363.989332992,211234.21212894,211101.497651462,210965.791887764,210827.040324836,210685.188129173,210540.180041978,210391.960461427,210240.473510187,210085.662977447,209927.472411961,209765.845169715,209600.724441959,209432.053276689,209259.774663247,209083.831542139,208904.166873463,208720.723665478,208533.445053356,208342.274343068,208147.155066806,207948.031027796,207744.846437016,207537.54584464,207326.074318957,207110.377484393,206890.401487868,206666.093269126,206437.400524593,206204.271765568,205966.656380681,205724.504921961,205477.768818601,205226.400778349,204970.354772942,204709.585916704,204444.050976245,204173.708219745,203898.51746809,203618.440171779,203333.439868149,203043.481619127,202748.532672291,202448.56236803,202143.541907845,201833.445126717,201518.248196523,201197.929655059,200872.470488601,200541.854756378,200206.068720067,199865.101765773,199518.946209067,199167.596941691,198811.052445186,198449.314331486,198082.387331362,197710.27936805
2,0,0,0,0,1,216907.5,216859.342783838,216850.564394243,216842.467918968,216834.573282139,216826.559510402,216818.201272132,216809.329739084,216799.80831591,216789.517425185,216778.344824857,216766.179293592,216752.906355878,216738.405225524,216722.546474206,216705.190097228,216686.183790353,216665.361305118,216642.540808772,216617.523159218,216590.090148721,216560.002563483,216526.998088226,216490.789022325,216451.059949849,216407.46496028,216359.624825709,216307.123734673,216249.506214331,216186.272873787,216116.876711568,216040.718787682,215957.143380348,215865.432906403,215764.802423581,215756.78929041,215748.415930935,215739.935655736,215731.516791023,215723.267808721,215715.255377717,215707.517242294,215700.071404291,215692.922632277,215686.067061447,215679.49540842,215673.195203406,215667.152318103,215661.351992717,215655.779509465,215650.420617984,215645.261788297,215640.290346101,215635.494527973,215630.863484484,215626.387250749,215622.056696636,215617.863466981,215613.799917085,215587.919213905,215562.246891401,215536.377398936,215510.046059905,215483.080120061,215455.366528449,215426.830750736,215397.42284746,215367.108342517,215335.862249655,215303.665181395,215270.500819876,215236.354303193,215201.211188433,215165.056812666,215127.875897812,215089.652322059,215050.368998051,215010.007814011,214968.549617066,214925.974220561,214882.260423771,214837.386043006,214791.327943004,214744.062063425,214695.563451286,214645.806290707,214594.763924009,214542.408874874,214488.712873209,214433.646843844,214377.180961317,214319.284653663,214259.92659754,214199.074754494,214136.69633715,214072.757792871,214007.224892425,213940.062689382,213871.235522051,213800.707020232,213728.440107547,213654.397003656,213578.539226279,213500.827593222,213421.222224473,213339.682544439,213256.167284453,213170.634485622,213083.041502073,212993.345004711,212901.500985526,212807.464762541,212711.190985455,212612.633642054,212511.744331705,212408.47748102,212302.788094406,212194.623338755,212083.935311283,211970.674214736,211854.789661124,211736.230686283,211614.945745626,211490.882834001,211363.989332992,211234.21212894,211101.497651462,210965.791887764,210827.040324836,210685.188129173,210540.180041978,210391.960461427,210240.473510187,210085.662977447,209927.472411961,209765.845169715,209600.724441959,209432.053276689,209259.774663247,209083.831542139,208904.166873463,208720.723665478,208533.445053356,208342.274343068,208147.155066806,207948.031027796,207744.846437016,207537.54584464,207326.074318957,207110.377484393,206890.401487868,206666.093269126,206437.400524593,206204.271765568,205966.656380681,205724.504921961,205477.768818601,205226.400778349,204970.354772942,204709.585916704,204444.050976245,204173.708219745,203898.51746809,203618.440171779,203333.439868149,203043.481619127,202748.532672291,202448.56236803,202143.541907845,201833.445126717,201518.248196523,201197.929655059,200872.470488601,200541.854756378,200206.068720067,199865.101765773,199518.946209067,199167.596941691,198811.052445186,198449.314331486,198082.387331362,197710.27936805
3,0,1,0,0,0,561299.97283811,561175.354537113,561135.871527861,561099.097041408,561062.745595441,561025.286672589,560985.641024076,560942.993212066,560896.675324255,560846.094081215,560790.684458795,560729.879434614,560663.089471881,560589.687786709,560508.999022398,560420.289753229,560322.759923431,560215.534584637,560097.655582898,559968.072757177,559825.634940766,559669.079997866,559497.024054908,559307.949766215,559100.194361981,558871.935419229,558621.176452351,558345.730301044,558043.203543507,557710.975024177,557346.177362038,556945.675400849,556506.042244567,556023.53434723,555494.064800957,555473.353518511,555451.713911324,555429.803031321,555408.057120604,555386.756973136,555366.074869489,555346.108050329,555326.902573903,555308.470221726,555290.800440221,555273.868682294,555257.642195779,555242.083982642,555227.155457785,555212.8181904,555199.035001829,555185.770616435,555172.992007641,555160.668536778,555148.771957318,555137.276335139,555126.157916482,555115.394970425,555104.967619475,554985.076575446,554866.508847215,554747.0668,554625.301252176,554500.256614106,554371.301406795,554238.015645005,554100.116055749,553957.406504493,553809.745216415,553657.023190469,553499.15001268,553336.044694622,553167.629716093,552993.827299688,552814.557070036,552629.73466907,552439.270992469,552243.071799264,552041.037573727,551833.063536112,551619.039731906,551398.851194454,551172.378117451,550939.496001,550700.07583799,550453.984287927,550201.083804626,549941.232777697,549674.285682234,549400.093050211,549118.501765601,548829.355107617,548532.49275398,548227.750979549,547914.962523099,547593.956538296,547264.559041234,546926.592743728,546579.877089971,546224.228316513,545859.459491553,545485.380554473,545101.798355155,544708.516694237,544305.336364626,543892.055194778,543468.468094373,543034.36710279,542589.541440826,542133.777566113,541666.859232611,541188.567554588,540698.681075434,540196.975841692,539683.217100118,539157.184587021,538618.661611366,538067.394550989,537503.154509289,536925.704444117,536334.805509285,535730.217177486,535111.697326061,534479.002637738,533831.888319671,533170.108516441,532493.416520057,531801.564900142,531094.305602442,530371.390322786,529632.570557325,528877.597910664,528106.224221923,527318.201928105,526513.284259572,525691.225486963,524851.781130441,523994.708584025,523119.766798291,522226.717101256,521315.32337396,520385.351895716,519436.5725865,518468.75884229,517481.687799124,516475.140627713,515448.903851297,514402.76803079,513336.529616012,512249.990886531,511142.959394459,510015.250323441,508866.685799621,507697.095129747,506506.315168031,505294.192443352,504060.580558416,502805.34326394,501528.354041667,500229.49503266,498908.660642368,497565.756171755,496200.697959676,494813.413780424,493403.845776602,491971.946397133,490517.682720866,489041.035561135,487541.997816626,486020.579239242,484476.804291725,482910.71210405,481322.356828598,479711.811188234,478079.161013663,476424.510574242,474747.98112874,473049.708734719,471329.849793977,469588.578173687,467826.084888188,466042.578317541
4,0,1,0,0,1,561299.97283811,561175.354537113,561135.871527861,561099.097041408,561062.745595441,561025.286672589,560985.641024076,560942.993212066,560896.675324255,560846.094081215,560790.684458795,560729.879434614,560663.089471881,560589.687786709,560508.999022398,560420.289753229,560322.759923431,560215.534584637,560097.655582898,559968.072757177,559825.634940766,559669.079997866,559497.024054908,559307.949766215,559100.194361981,558871.935419229,558621.176452351,558345.730301044,558043.203543507,557710.975024177,557346.177362038,556945.675400849,556506.042244567,556023.53434723,555494.064800957,555473.353518511,555451.713911324,555429.803031321,555408.057120604,555386.756973136,555366.074869489,555346.108050329,555326.902573903,555308.470221726,555290.800440221,555273.868682294,555257.642195779,555242.083982642,555227.155457785,555212.8181904,555199.035001829,555185.770616435,555172.992007641,555160.668536778,555148.771957318,555137.276335139,555126.157916482,555115.394970425,555104.967619475,554985.076575446,554866.508847215,554747.0668,554625.301252176,554500.256614106,554371.301406795,554238.015645005,554100.116055749,553957.406504493,553809.745216415,553657.023190469,553499.15001268,553336.044694622,553167.629716093,552993.827299688,552814.557070036,552629.73466907,552439.270992469,552243.071799264,552041.037573727,551833.063536112,551619.039731906,551398.851194454,551172.378117451,550939.496001,550700.07583799,550453.984287927,550201.083804626,549941.232777697,549674.285682234,549400.093050211,549118.501765601,548829.355107617,548532.49275398,548227.750979549,547914.962523099,547593.956538296,547264.559041234,546926.592743728,546579.877089971,546224.228316513,545859.459491553,545485.380554473,545101.798355155,544708.516694237,544305.336364626,543892.055194778,543468.468094373,543034.36710279,542589.541440826,542133.777566113,541666.859232611,541188.567554588,540698.681075434,540196.975841692,539683.217100118,539157.184587021,538618.661611366,538067.394550989,537503.154509289,536925.704444117,536334.805509285,535730.217177486,535111.697326061,534479.002637738,533831.888319671,533170.108516441,532493.416520057,531801.564900142,531094.305602442,530371.390322786,529632.570557325,528877.597910664,528106.224221923,527318.201928105,526513.284259572,525691.225486963,524851.781130441,523994.708584025,523119.766798291,522226.717101256,521315.32337396,520385.351895716,519436.5725865,518468.75884229,517481.687799124,516475.140627713,515448.903851297,514402.76803079,513336.529616012,512249.990886531,511142.959394459,510015.250323441,508866.685799621,507697.095129747,506506.315168031,505294.192443352,504060.580558416,502805.34326394,501528.354041667,500229.49503266,498908.660642368,497565.756171755,496200.697959676,494813.413780424,493403.845776602,491971.946397133,490517.682720866,489041.035561135,487541.997816626,486020.579239242,484476.804291725,482910.71210405,481322.356828598,479711.811188234,478079.161013663,476424.510574242,474747.98112874,473049.708734719,471329.849793977,469588.578173687,467826.084888188,466042.578317541
5,0,1,1,0,0,2153.0205694899,2152.5425616895,2152.391113738,2152.25005507133,2152.11061909292,2151.96693508203,2151.81486328286,2151.65127585912,2151.4736108493,2151.2795925668,2151.06705370596,2150.83381929633,2150.57762800725,2150.29607563658,2149.98657166777,2149.64630284455,2149.27220033279,2148.86090802713,2148.40875066434,2147.91170006264,2147.36534060523,2146.76483102278,2146.10486308724,2145.37961660155,2144.58271355437,2143.70716354066,2142.74530849024,2141.68875894766,2140.52833428471,2139.25398033761,2137.85469847712,2136.31846294837,2134.63212894818,2132.78133707542,2130.75041086981,2130.67096704425,2130.58796237359,2130.50391716136,2130.42050473424,2130.33880215478,2130.25947025254,2130.18288202087,2130.10921412884,2130.03851176771,2129.97073445633,2129.90578803756,2129.84354688144,2129.78386907184,2129.72660660499,2129.67161206894,2129.61874285472,2129.5678636529,2129.51884778097,2129.47157771588,2129.42594511027,2129.38185048671,2129.33920273109,2129.29791848849,2129.25792151331,2128.79804640841,2128.34324724555,2127.88509439153,2127.41802911128,2126.93838597767,2126.44374277916,2125.93248854678,2125.40353670897,2124.85613493775,2124.28973941676,2123.70393204247,2123.0983660072,2122.47273065754,2121.82672864341,2121.16006162817,2120.47242130995,2119.76348411017,2119.03290824466,2118.28033222626,2117.50537433499,2116.70763265928,2115.88668543834,2115.04209168591,2114.17339185192,2113.28010838274,2112.36174643609,2111.41779454779,2110.44772512158,2109.45099497183,2108.4270458977,2107.37530457343,2106.29518368034,2105.1860820727,2104.04738479029,2102.87846382025,2101.67867758611,2100.44737075972,2099.1838759779,2097.88751320303,2096.55758986359,2095.19340108429,2093.79422983673,2092.35934709111,2090.88801196696,2089.37947188762,2087.83296273944,2086.24770903781,2084.62292410235,2082.95781024284,2081.25155895763,2079.50335114617,2077.71235733724,2075.87773793437,2073.99864347976,2072.07421493827,2070.10355184921,2068.08580933055,2066.02015620417,2063.90561963245,2061.74132161945,2059.52635292475,2057.25979738806,2054.94073240066,2052.56822923444,2050.14135457902,2047.65916946406,2045.1207308434,2042.52509240063,2039.87130504842,2037.1584173064,2034.38547673555,2031.55153013096,2028.6556247037,2025.6968085644,2022.67413211703,2019.58664880871,2016.43341607683,2013.21349615167,2009.9259584512,2006.56987836399,2003.14434039795,1999.64843885381,1996.08127723152,1992.44197299582,1988.7296569446,1984.94347422177,1981.08258544735,1977.14617177247,1973.13342983585,1969.04357886474,1964.87586044799,1960.62953639874,1956.30389780299,1951.89826237659,1947.41197537859,1942.8444110184,1938.19498061529,1933.46312262213,1928.64831441729,1923.75007070516,1918.76793940535,1913.70151548089,1908.55043568755,1903.31437911997,1897.99306873659,1892.58628260941,1887.09383834321,1881.51560965983,1875.85152296354,1870.1015510153,1864.2657312212,1858.34415741485,1852.33697969001,1846.24440576308,1840.0667145826,1833.80423537587,1827.45736809673,1821.02657786656,1814.5123865716,1807.915394134,1801.23626746917,1794.47573926518,1787.63460882114
6,0,1,1,0,1,2153.0205694899,2152.5425616895,2152.391113738,2152.25005507133,2152.11061909292,2151.96693508203,2151.81486328286,2151.65127585912,2151.4736108493,2151.2795925668,2151.06705370596,2150.83381929633,2150.57762800725,2150.29607563658,2149.98657166777,2149.64630284455,2149.27220033279,2148.86090802713,2148.40875066434,2147.91170006264,2147.36534060523,2146.76483102278,2146.10486308724,2145.37961660155,2144.58271355437,2143.70716354066,2142.74530849024,2141.68875894766,2140.52833428471,2139.25398033761,2137.85469847712,2136.31846294837,2134.63212894818,2132.78133707542,2130.75041086981,2130.67096704425,2130.58796237359,2130.50391716136,2130.42050473424,2130.33880215478,2130.25947025254,2130.18288202087,2130.10921412884,2130.03851176771,2129.97073445633,2129.90578803756,2129.84354688144,2129.78386907184,2129.72660660499,2129.67161206894,2129.61874285472,2129.5678636529,2129.51884778097,2129.47157771588,2129.42594511027,2129.38185048671,2129.33920273109,2129.29791848849,2129.25792151331,2128.79804640841,2128.34324724555,2127.88509439153,2127.41802911128,2126.93838597767,2126.44374277916,2125.93248854678,2125.40353670897,2124.85613493775,2124.28973941676,2123.70393204247,2123.0983660072,2122.47273065754,2121.82672864341,2121.16006162817,2120.47242130995,2119.76348411017,2119.03290824466,2118.28033222626,2117.50537433499,2116.70763265928,2115.88668543834,2115.04209168591,2114.17339185192,2113.28010838274,2112.36174643609,2111.41779454779,2110.44772512158,2109.45099497183,2108.4270458977,2107.37530457343,2106.29518368034,2105.1860820727,2104.04738479029,2102.87846382025,2101.67867758611,2100.44737075972,2099.1838759779,2097.88751320303,2096.55758986359,2095.19340108429,2093.79422983673,2092.35934709111,2090.88801196696,2089.37947188762,2087.83296273944,2086.24770903781,2084.62292410235,2082.95781024284,2081.25155895763,2079.50335114617,2077.71235733724,2075.87773793437,2073.99864347976,2072.07421493827,2070.10355184921,2068.08580933055,2066.02015620417,2063.90561963245,2061.74132161945,2059.52635292475,2057.25979738806,2054.94073240066,2052.56822923444,2050.14135457902,2047.65916946406,2045.1207308434,2042.52509240063,2039.87130504842,2037.1584173064,2034.38547673555,2031.55153013096,2028.6556247037,2025.6968085644,2022.67413211703,2019.58664880871,2016.43341607683,2013.21349615167,2009.9259584512,2006.56987836399,2003.14434039795,1999.64843885381,1996.08127723152,1992.44197299582,1988.7296569446,1984.94347422177,1981.08258544735,1977.14617177247,1973.13342983585,1969.04357886474,1964.87586044799,1960.62953639874,1956.30389780299,1951.89826237659,1947.41197537859,1942.8444110184,1938.19498061529,1933.46312262213,1928.64831441729,1923.75007070516,1918.76793940535,1913.70151548089,1908.55043568755,1903.31437911997,1897.99306873659,1892.58628260941,1887.09383834321,1881.51560965983,1875.85152296354,1870.1015510153,1864.2657312212,1858.34415741485,1852.33697969001,1846.24440576308,1840.0667145826,1833.80423537587,1827.45736809673,1821.02657786656,1814.5123865716,1807.915394134,1801.23626746917,1794.47573926518,1787.63460882114
7,0,2,0,0,0,249817.205778925,249761.742038945,249751.849090409,249742.715640741,249733.791793078,249724.710562101,249715.214635946,249705.111274841,249694.244390993,249682.477079544,249669.680524635,249655.726778952,249640.483883729,249623.812382559,249605.56266135,249585.572738007,249563.666288669,249539.650758829,249513.315475317,249484.429656562,249452.740383922,249417.970358122,249379.815474769,249337.942180438,249291.984774767,249241.542191763,249186.174730282,249125.400271025,249058.690711793,248985.467037651,248905.095045017,248816.880330514,248720.062684114,248613.81020971,248497.212963184,248488.691291119,248479.789670938,248470.779059274,248461.838811954,248453.083986583,248444.584886941,248436.380959095,248428.490665965,248420.918463871,248413.659716212,248406.704115605,248400.038051512,248393.646224523,248387.512726651,248381.621745993,248375.958008716,248370.507039111,248365.255296026,248360.190225534,248355.300259465,248350.574780332,248346.004065516,248341.579221501,248337.292113666,248307.540913025,248278.031042408,248248.292452505,248218.018653734,248187.00978117,248155.135148649,248122.308646014,248088.47258835,248053.587134134,248017.623371625,247980.558821753,247942.374519685,247903.053156249,247862.577885993,247820.931594538,247778.096446901,247734.053627311,247688.783201474,247642.264050761,247594.473854549,247545.389099724,247494.985104184,247443.236053163,247390.115035622,247335.594074984,247279.644166526,247222.235311623,247163.336541989,247102.915946278,247040.940698654,246977.377045662,246912.190369278,246845.345191227,246776.805167315,246706.533129196,246634.491045407,246560.640002536,246484.94030744,246407.35144052,246327.832058017,246246.339999889,246162.832292596,246077.265151788,245989.593984779,245899.773393041,245807.75717479,245713.498327773,245616.949052355,245518.060755034,245416.784052431,245313.068775874,245206.863976646,245098.117931985,244986.7781519,244872.791386893,244756.101630822,244636.656155884,244514.402909277,244389.28077847,244261.234363251,244130.206079939,243996.137670334,243858.970218863,243718.64414852,243575.099358028,243428.275048913,243278.109860706,243124.541915696,242967.508835931,242806.947679433,242642.795144041,242474.987450701,242303.46043788,242128.149638039,241948.990215779,241765.917073407,241578.864906248,241387.768235631,241192.561437981,240993.178836805,240789.554720326,240581.623419396,240369.319338172,240152.577052238,239931.331356339,239705.517328533,239475.070382646,239239.926431855,239000.021801379,238755.293443561,238505.678979916,238251.116659003,237991.545677864,237726.906136053,237457.139102706,237182.186689347,236901.992387116,236616.500725576,236325.657746611,236029.410984778,235727.709322856,235420.503591235,235107.746388284,234789.392138787,234465.397183205,234135.720312982,233800.32210871,233459.165714743,233112.21672815,232759.442926158,232400.815169001,232036.307050796,231665.894931756,231289.558033478,230907.279166489,230519.043712023,230124.840696928,229724.662563849,229318.50475817,228906.366907341,228488.252283509,228064.167788069,227634.124035914
8,0,2,0,0,1,249817.205778925,249761.742038945,249751.849090409,249742.715640741,249733.791793078,249724.710562101,249715.214635946,249705.111274841,249694.244390993,249682.477079544,249669.680524635,249655.726778952,249640.483883729,249623.812382559,249605.56266135,249585.572738007,249563.666288669,249539.650758829,249513.315475317,249484.429656562,249452.740383922,249417.970358122,249379.815474769,249337.942180438,249291.984774767,249241.542191763,249186.174730282,249125.400271025,249058.690711793,248985.467037651,248905.095045017,248816.880330514,248720.062684114,248613.81020971,248497.212963184,248488.691291119,248479.789670938,248470.779059274,248461.838811954,248453.083986583,248444.584886941,248436.380959095,248428.490665965,248420.918463871,248413.659716212,248406.704115605,248400.038051512,248393.646224523,248387.512726651,248381.621745993,248375.958008716,248370.507039111,248365.255296026,248360.190225534,248355.300259465,248350.574780332,248346.004065516,248341.579221501,248337.292113666,248307.540913025,248278.031042408,248248.292452505,248218.018653734,248187.00978117,248155.135148649,248122.308646014,248088.47258835,248053.587134134,248017.623371625,247980.558821753,247942.374519685,247903.053156249,247862.577885993,247820.931594538,247778.096446901,247734.053627311,247688.783201474,247642.264050761,247594.473854549,247545.389099724,247494.985104184,247443.236053163,247390.115035622,247335.594074984,247279.644166526,247222.235311623,247163.336541989,247102.915946278,247040.940698654,246977.377045662,246912.190369278,246845.345191227,246776.805167315,246706.533129196,246634.491045407,246560.640002536,246484.94030744,246407.35144052,246327.832058017,246246.339999889,246162.832292596,246077.265151788,245989.593984779,245899.773393041,245807.75717479,245713.498327773,245616.949052355,245518.060755034,245416.784052431,245313.068775874,245206.863976646,245098.117931985,244986.7781519,244872.791386893,244756.101630822,244636.656155884,244514.402909277,244389.28077847,244261.234363251,244130.206079939,243996.137670334,243858.970218863,243718.64414852,243575.099358028,243428.275048913,243278.109860706,243124.541915696,242967.508835931,242806.947679433,242642.795144041,242474.987450701,242303.46043788,242128.149638039,241948.990215779,241765.917073407,241578.864906248,241387.768235631,241192.561437981,240993.178836805,240789.554720326,240581.623419396,240369.319338172,240152.577052238,239931.331356339,239705.517328533,239475.070382646,239239.926431855,239000.021801379,238755.293443561,238505.678979916,238251.116659003,237991.545677864,237726.906136053,237457.139102706,237182.186689347,236901.992387116,236616.500725576,236325.657746611,236029.410984778,235727.709322856,235420.503591235,235107.746388284,234789.392138787,234465.397183205,234135.720312982,233800.32210871,233459.165714743,233112.21672815,232759.442926158,232400.815169001,232036.307050796,231665.894931756,231289.558033478,230907.279166489,230519.043712023,230124.840696928,229724.662563849,229318.50475817,228906.366907341,228488.252283509,228064.167788069,227634.124035914
9,0,2,1,0,0,104438.294221075,104415.10711362,104410.971278913,104407.152959432,104403.422265923,104399.625776928,104395.655920942,104391.432121398,104386.889124414,104381.9696957,104376.619982647,104370.786495748,104364.414068472,104357.444399834,104349.814942339,104341.457977938,104332.299792879,104322.259888048,104311.250189659,104299.174217436,104285.9262365,104271.390319435,104255.439332708,104237.933831357,104218.720931108,104197.632962772,104174.486105396,104149.078804737,104121.190282996,104090.578477856,104056.978254895,104020.099312633,103979.62383854,103935.204051084,103886.459540072,103882.896979633,103879.17557852,103875.408612554,103871.671063023,103868.011030781,103864.457906943,103861.028182287,103857.7295754,103854.563949286,103851.529365574,103848.621515171,103845.834708069,103843.162548217,103840.598385139,103838.135608529,103835.767833026,103833.489006931,103831.293469247,103829.175971693,103827.131678092,103825.156149711,103823.245321923,103821.395476715,103819.603213335,103807.165460554,103794.828597926,103782.396117175,103769.739887619,103756.776353958,103743.450881683,103729.727471681,103715.582008263,103700.997835327,103685.962866064,103670.4677029,103654.504417419,103638.065773367,103621.144728356,103603.734127566,103585.826514926,103567.414024336,103548.488322087,103529.040579352,103509.061464793,103488.541148547,103467.469312043,103445.835163189,103423.627451587,103400.83448138,103377.444126889,103353.443846922,103328.820694913,103303.561330042,103277.652029177,103251.078681388,103223.826814302,103195.881595915,103167.227832212,103137.849984639,103107.732153805,103076.858071614,103045.211143997,103012.774431375,102979.530649626,102945.46217337,102910.551037138,102874.778936496,102838.127229075,102800.57693562,102762.108741067,102722.702995705,102682.339716477,102640.998588437,102598.658966428,102555.299876991,102510.900020564,102465.43777399,102418.891193362,102371.238017257,102322.45483181,102272.519593699,102221.410541787,102169.10212744,102115.57119011,102060.793656428,102004.745171039,101947.401103765,101888.736547913,101828.72637761,101767.345175518,101704.567289347,101640.366850575,101574.717781545,101507.593768808,101438.968348333,101368.814856723,101297.106470682,101223.816238982,101148.917056614,101072.381708909,100994.18289467,100914.293239958,100832.685310259,100749.331648932,100664.204784587,100577.277263656,100488.521663216,100397.91063201,100305.416910405,100211.013357208,100114.672971598,100016.36896151,99916.074707139,99813.7638508536,99709.4103147764,99602.9882831703,99494.472336821,99383.8374338163,99271.0589375876,99156.1126473448,99038.974939058,98919.6226228213,98798.0331409654,98674.1845598483,98548.0555094631,98419.625434019,98288.8745168443,98155.7837048173,98020.3347456804,97882.5104118326,97742.2942236408,97599.6707732769,97454.6256782903,97307.1454676655,97157.2179592658,97004.8321138778,96849.9780486797,96692.6470770757,96532.8320128544,96370.5267445119,96205.7266846242,96038.4286737726,95868.6308078592,95696.3329311365,95521.536411554,95344.244134302,95164.4605370292
10,0,2,1,0,1,104438.294221075,104415.10711362,104410.971278913,104407.152959432,104403.422265923,104399.625776928,104395.655920942,104391.432121398,104386.889124414,104381.9696957,104376.619982647,104370.786495748,104364.414068472,104357.444399834,104349.814942339,104341.457977938,104332.299792879,104322.259888048,104311.250189659,104299.174217436,104285.9262365,104271.390319435,104255.439332708,104237.933831357,104218.720931108,104197.632962772,104174.486105396,104149.078804737,104121.190282996,104090.578477856,104056.978254895,104020.099312633,103979.62383854,103935.204051084,103886.459540072,103882.896979633,103879.17557852,103875.408612554,103871.671063023,103868.011030781,103864.457906943,103861.028182287,103857.7295754,103854.563949286,103851.529365574,103848.621515171,103845.834708069,103843.162548217,103840.598385139,103838.135608529,103835.767833026,103833.489006931,103831.293469247,103829.175971693,103827.131678092,103825.156149711,103823.245321923,103821.395476715,103819.603213335,103807.165460554,103794.828597926,103782.396117175,103769.739887619,103756.776353958,103743.450881683,103729.727471681,103715.582008263,103700.997835327,103685.962866064,103670.4677029,103654.504417419,103638.065773367,103621.144728356,103603.734127566,103585.826514926,103567.414024336,103548.488322087,103529.040579352,103509.061464793,103488.541148547,103467.469312043,103445.835163189,103423.627451587,103400.83448138,103377.444126889,103353.443846922,103328.820694913,103303.561330042,103277.652029177,103251.078681388,103223.826814302,103195.881595915,103167.227832212,103137.849984639,103107.732153805,103076.858071614,103045.211143997,103012.774431375,102979.530649626,102945.46217337,102910.551037138,102874.778936496,102838.127229075,102800.57693562,102762.108741067,102722.702995705,102682.339716477,102640.998588437,102598.658966428,102555.299876991,102510.900020564,102465.43777399,102418.891193362,102371.238017257,102322.45483181,102272.519593699,102221.410541787,102169.10212744,102115.57119011,102060.793656428,102004.745171039,101947.401103765,101888.736547913,101828.72637761,101767.345175518,101704.567289347,101640.366850575,101574.717781545,101507.593768808,101438.968348333,101368.814856723,101297.106470682,101223.816238982,101148.917056614,101072.381708909,100994.18289467,100914.293239958,100832.685310259,100749.331648932,100664.204784587,100577.277263656,100488.521663216,100397.91063201,100305.416910405,100211.013357208,100114.672971598,100016.36896151,99916.074707139,99813.7638508536,99709.4103147764,99602.9882831703,99494.472336821,99383.8374338163,99271.0589375876,99156.1126473448,99038.974939058,98919.6226228213,98798.0331409654,98674.1845598483,98548.0555094631,98419.625434019,98288.8745168443,98155.7837048173,98020.3347456804,97882.5104118326,97742.2942236408,97599.6707732769,97454.6256782903,97307.1454676655,97157.2179592658,97004.8321138778,96849.9780486797,96692.6470770757,96532.8320128544,96370.5267445119,96205.7266846242,96038.4286737726,95868.6308078592,95696.3329311365,95521.536411554,95344.244134302,95164.4605370292
