"ego","naics","age","shift","sick","n","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150"
1,0,1,0,0,409911.11078778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,409911.11078778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,1,770.3959473966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,1,770.3959473966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,1,0,0,114.7842738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,11,1,0,1,0.215728086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,23,1,0,0,17.176936889662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,23,1,1,0,0.789297054743192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,23,1,0,1,0.0322827125691985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,23,1,1,1,0.00148342222560793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,0.043932248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,31,1,0,0,304.4278566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,31,1,0,1,0.572148402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,42,1,0,0,35.93246832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,42,1,0,1,0.0675322704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,44,1,0,0,2447.0092593234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,44,1,1,0,609.246826679161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,44,1,0,1,4.59896296297442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,44,1,1,1,1.14503187126553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,0.19934417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,48,1,0,0,137.74112856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,48,1,0,1,0.2588737032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
