"FocalAge","TargetAge","Value","policy"
4,6,0.695764726380907,"W3-S1-N1-E1-M1"
5,1,0.206171449103483,"W3-S1-N1-E1-M1"
5,2,7.2257210384853,"W3-S1-N1-E1-M1"
5,3,2.1570953613881,"W3-S1-N1-E1-M1"
5,4,1.95014138205159,"W3-S1-N1-E1-M1"
5,5,2.56242203668588,"W3-S1-N1-E1-M1"
5,6,0.863801192946266,"W3-S1-N1-E1-M1"
6,1,0.162830779427704,"W3-S1-N1-E1-M1"
6,2,6.94010083139336,"W3-S1-N1-E1-M1"
6,3,2.17033678839151,"W3-S1-N1-E1-M1"
6,4,1.86928595885498,"W3-S1-N1-E1-M1"
6,5,1.33239002196983,"W3-S1-N1-E1-M1"
6,6,2.09630486723036,"W3-S1-N1-E1-M1"
1,1,2.31379637873026,"W4-S1-N1-E1-M1"
1,2,2.13182465629802,"W4-S1-N1-E1-M1"
1,3,0.318326908398139,"W4-S1-N1-E1-M1"
1,4,0.138260492928546,"W4-S1-N1-E1-M1"
1,5,0.0690573231268968,"W4-S1-N1-E1-M1"
1,6,0.0358849278468222,"W4-S1-N1-E1-M1"
2,1,0.912850228216137,"W4-S1-N1-E1-M1"
2,2,58.2085185123814,"W4-S1-N1-E1-M1"
2,3,18.2721129115801,"W4-S1-N1-E1-M1"
2,4,4.53172523638826,"W4-S1-N1-E1-M1"
2,5,0.879257086026847,"W4-S1-N1-E1-M1"
2,6,0.544617198622159,"W4-S1-N1-E1-M1"
3,1,0.476318330764234,"W4-S1-N1-E1-M1"
3,2,58.5145000506744,"W4-S1-N1-E1-M1"
3,3,20.759047829047,"W4-S1-N1-E1-M1"
3,4,4.99778351114605,"W4-S1-N1-E1-M1"
3,5,0.887158200002726,"W4-S1-N1-E1-M1"
3,6,0.577983920067008,"W4-S1-N1-E1-M1"
4,1,0.242377135931635,"W4-S1-N1-E1-M1"
4,2,20.4006559304059,"W4-S1-N1-E1-M1"
4,3,6.80963830957151,"W4-S1-N1-E1-M1"
4,4,5.02919672068474,"W4-S1-N1-E1-M1"
4,5,1.12202438023228,"W4-S1-N1-E1-M1"
4,6,0.695764726380907,"W4-S1-N1-E1-M1"
5,1,0.206171449103483,"W4-S1-N1-E1-M1"
5,2,7.2257210384853,"W4-S1-N1-E1-M1"
5,3,2.1570953613881,"W4-S1-N1-E1-M1"
5,4,1.95014138205159,"W4-S1-N1-E1-M1"
5,5,2.56242203668588,"W4-S1-N1-E1-M1"
5,6,0.863801192946266,"W4-S1-N1-E1-M1"
6,1,0.162830779427704,"W4-S1-N1-E1-M1"
6,2,6.94010083139336,"W4-S1-N1-E1-M1"
6,3,2.17033678839151,"W4-S1-N1-E1-M1"
6,4,1.86928595885498,"W4-S1-N1-E1-M1"
6,5,1.33239002196983,"W4-S1-N1-E1-M1"
6,6,2.09630486723036,"W4-S1-N1-E1-M1"
1,1,17.4073386127758,"W1-S2-N1-E1-M1"
1,2,2.32318330804135,"W1-S2-N1-E1-M1"
1,3,0.301064387306857,"W1-S2-N1-E1-M1"
1,4,0.138260492928546,"W1-S2-N1-E1-M1"
1,5,0.0690573231268968,"W1-S2-N1-E1-M1"
1,6,0.0358849278468222,"W1-S2-N1-E1-M1"
2,1,0.936661684645427,"W1-S2-N1-E1-M1"
