"age","naics","sick","wfh","essential","num_people","race","income","N","prob_age_income"
1,0,0,0,0,53427.6941081304,2,3,39689.4080773592,0.0436801180395454
1,0,0,0,0,382574.430160383,3,3,284200.037678361,0.31277592168767
1,0,0,0,0,80248.6342472012,1,2,59613.6675081253,0.065607731625772
1,0,0,0,0,76923.6786085027,1,1,57143.6840400696,0.0628893950552161
1,0,0,0,0,122635.305368885,2,1,91101.1182632446,0.100261197937671
1,0,0,0,0,63472.8129777546,3,1,47151.5459939838,0.0518925626391278
1,0,0,0,0,213604.055371857,3,2,158678.353280127,0.174633221742364
1,0,0,0,0,201731.708020105,2,2,149858.836609125,0.164926916007337
1,0,0,0,0,28539.8708600208,1,3,21201.1878848076,0.023332935265297
1,0,1,0,0,453.794306167793,3,3,63106.9674969167,0.197402257761596
1,0,1,0,0,87.8983310006443,2,3,12223.5934697688,0.0382361099669406
1,0,1,0,0,443.433618810295,2,2,61666.1570869386,0.192895319158502
1,0,1,0,0,233.518880899198,1,2,32474.335236311,0.101581605791277
1,0,1,0,0,244.664617858434,1,1,34024.3186769485,0.106430043971893
1,0,1,0,0,118.099002553132,3,1,16423.4540060163,0.0513735175310038
1,0,1,0,0,355.938574383041,3,2,49498.646719873,0.154834640392504
1,0,1,0,0,297.205170109364,2,1,41330.8777899742,0.129285385031504
1,0,1,0,0,64.2778728728977,1,3,8938.81121695042,0.027961120394779
2,0,0,0,0,14496.6621684588,1,3,5550.91126155853,0.0286087006780438
2,0,0,0,0,54686.852998771,1,1,20940.1215702295,0.107922761135321
2,0,0,0,0,51485.2909802596,2,1,19714.2127053738,0.10160458054827
2,0,0,0,0,20370.4117953127,2,3,7800.02644217014,0.0402003583285925
2,0,0,0,0,39977.9031611358,1,2,15307.9233199954,0.0788951175092707
2,0,0,0,0,77120.2075889042,2,2,29530.0686340332,0.152194271308878
2,0,0,0,0,60951.3289042707,3,1,23338.8495979309,0.12028550464156
