"age","naics","sick","wfh","essential","num_people","race","income","N","prob_age_income"
1,0,0,0,0,201602.932598745,3,1,173915.860882759,0.0800854279899576
1,0,0,0,0,254597.1165709,2,1,219632.10621953,0.101137016127496
1,0,0,0,0,133603.339305551,1,1,115254.969124794,0.0530730405121061
1,0,0,0,0,92488.2441079242,1,3,79786.4018554688,0.0367403416108289
1,0,0,0,0,806698.488366858,3,3,695910.819692194,0.320455624662446
1,0,0,0,0,137012.829504656,2,3,118196.218121052,0.0544274378827354
1,0,0,0,0,421190.568783286,3,2,363346.502064228,0.167315160208901
1,0,0,0,0,290390.858068615,2,2,250510.126129985,0.115355842561493
1,0,0,0,0,179764.129890365,1,2,155076.282882989,0.0714101084440369
1,0,1,0,0,969.151963583091,1,2,48018.7171170115,0.134857635578813
1,0,1,0,0,804.587778904221,1,1,39865.030875206,0.111958505534544
1,0,1,0,0,323.001082348103,2,3,16003.7828788161,0.044945647216994
1,0,1,0,0,984.358957328179,3,3,48772.1803078055,0.136973690952773
1,0,1,0,0,581.509460254125,3,1,28812.1360963583,0.080917125304735
1,0,1,0,0,1074.87252049657,2,2,53256.8693435341,0.149568666328538
1,0,1,0,0,1014.82102025966,3,2,50281.4886904657,0.14121249140529
1,0,1,0,0,1079.81771653631,2,1,53501.8897104561,0.150256791071047
1,0,1,0,0,354.361447889232,1,3,17557.5995950699,0.0493094466072651
2,0,0,0,0,93900.8265082467,1,1,48160.6961560249,0.0781391072176363
2,0,0,0,0,250293.982454863,3,3,128373.017436981,0.208280896539841
2,0,0,0,0,135962.937882041,2,2,69733.8882234693,0.113140884652986
2,0,0,0,0,45099.9974637854,1,3,23131.2902693152,0.0375297392832677
2,0,0,0,0,142404.523382119,2,1,73037.7062362432,0.118501218089433
2,0,0,0,0,95040.7700149641,1,2,48745.3605823517,0.0790877055549003
2,0,0,0,0,195251.627402357,3,1,100142.401839971,0.162477673683424
2,0,0,0,0,49524.21866228,2,3,25400.4244270325,0.0412113330182638
2,0,0,0,0,194234.699246235,3,2,99620.8306274414,0.161631441960247
2,0,1,0,0,46262.3890145306,1,1,42894.3038439751,0.118686189784981
2,0,1,0,0,54283.2062802997,3,2,50331.1738414764,0.139263601814799
2,0,1,0,0,43104.8427098421,1,2,39966.6394176483,0.110585502640281
2,0,1,0,0,16250.8348813517,1,3,15067.7097306848,0.0416915276962175
2,0,1,0,0,54733.0786964702,2,1,50748.2937637568,0.140417749797686
2,0,1,0,0,59759.317848246,3,1,55408.6027958095,0.153312569684419
2,0,1,0,0,47965.1658452444,2,2,44473.1117765307,0.12305466487666
2,0,1,0,0,13697.8320012436,2,3,12700.5755729675,0.0351417971093485
2,0,1,0,0,53730.7974509118,3,3,49818.9825630188,0.137846396595608
2,11,0,0,1,9.84471913753806,1,3,17.6533201932907,0.00463241305762073
2,11,0,0,1,135.046660520817,2,1,242.162514328957,0.0635459381669219
2,11,0,0,1,29.5600617056017,1,1,53.0064115524292,0.0139094283865317
2,11,0,0,1,53.4958258698777,1,2,95.9274642467499,0.025172354723956
2,11,0,0,1,247.581922568506,3,1,443.95811522007,0.116499182446357
2,11,0,0,1,744.185447788598,3,3,1334.45594632626,0.350174985945748
2,11,0,0,1,250.998410751714,2,2,450.084481954575,0.118106804182436
2,11,0,0,1,91.2120192809615,2,3,163.559260487556,0.0429196347022192
