Policy1,Policy2,Policy3,Policy4,MSA,,BaselineAdjDeaths,BaselineAdjEmpDays,Deaths,Case,EmpDaysLost,Population,Death5_17,Death18_49,Death50_59,Death60_69,Death70_79,Death80,Case5_17,Case18_49,Case50_59,Case60_69,Case70_79,Case80
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S2-N2-E1-M1,5600,0,-0.006735218,0.41336064,49670.31616,4573750.61,520093526.6,18007950.11,65.9121375,4627.987737,7255.406945,20641.62294,7702.305118,9377.081287,467015.6158,2607910.15,779911.9812,469450.9521,144966.1114,104495.7992
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S2-N2-E1-M1,5600,0,-0.005141575,0.037008723,49750.00967,4599284.238,381602196.1,18007950.11,65.94641639,4644.410779,7281.948584,20651.37484,7714.382004,9391.947041,467607.4244,2626025.482,785313.9281,469965.0518,145492.8063,104879.5455
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S2-N2-E1-M1,5600,0,-0.006187227,0.224955444,49697.71965,4582199.587,450763505.8,18007950.11,65.92584924,4633.817015,7264.822254,20644.87178,7706.295409,9381.987346,467245.2852,2613882.125,781712.1363,469613.5249,145130.8435,104615.6719
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S2-N2-E1-M1,5600,0,-0.003732781,0.037873504,49820.45944,4625685.142,381920421.3,18007950.11,65.98078547,4660.440218,7308.113733,20658.90942,7723.661753,9403.353528,468233.9669,2644879.611,791056.9591,470390.7882,145927.7322,105196.0849
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S3-N2-E1-M1,5600,0,-0.006035208,0.413465196,49705.32166,4679285.404,520132001.7,18007950.11,71.10220033,4636.462725,7257.31521,20647.80425,7708.64186,9383.995415,560540.734,2618501.413,780434.5057,469825.3675,145283.75,104699.634
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S3-N2-E1-M1,5600,0,-0.004291525,0.037352918,49792.51824,4711205.735,381728853.9,18007950.11,71.23788198,4654.987688,7286.435342,20658.32403,7721.603743,9399.92955,563372.8089,2639856.746,786599.1126,470393.9231,145862.5591,105120.585
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S3-N2-E1-M1,5600,0,-0.005413662,0.225169942,49736.40337,4691001.968,450842437.4,18007950.11,71.16922801,4643.335599,7268.154659,20651.38266,7713.00814,9389.353086,561940.3294,2626085.403,782659.6003,470011.1376,145470.4188,104835.0789
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S3-N2-E1-M1,5600,0,-0.002685423,0.038353073,49872.83481,4746902.544,382096894.8,18007950.11,71.41361138,4673.887983,7316.639128,20666.66059,7731.799373,9412.434124,567194.8779,2663403.054,793593.6593,470879.4317,146354.1929,105477.3288
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S1-N3-E1-M1,5600,0,-0.004139992,0.413384192,49800.09597,4572002.729,520102193.3,18007950.11,65.33255452,4629.461976,7261.472073,20673.07996,7743.03128,9427.718128,459346.201,2609361.708,780959.4299,470648.9521,146247.1665,105439.2716
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S1-N3-E1-M1,5600,0,-0.002163746,0.037035407,49898.92237,4598430.048,381612015.2,18007950.11,65.35356974,4646.063709,7288.760143,20687.45806,7761.14664,9450.140248,459689.2712,2627731.357,786538.8915,471409.2122,147040.6718,106020.6442
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S1-N3-E1-M1,5600,0,-0.003468687,0.224978535,49833.666,4580613.872,450772002.6,18007950.11,65.33971189,4635.307303,7271.070164,20677.85067,7748.999432,9435.098721,459457.9952,2615354.098,782798.567,470888.2605,146494.5754,105620.3752
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S1-N3-E1-M1,5600,0,-0.000476495,0.03789281,49983.29692,4625106.692,381927525.3,18007950.11,65.37008443,4662.055332,7315.235925,20698.46711,7774.954609,9467.213857,459978.6304,2646550.744,792359.4254,472032.3411,147689.7077,106495.8433
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S2-N3-E1-M1,5600,0,-0.003963863,0.413411128,49808.90369,4582471.031,520112105.4,18007950.11,65.9367633,4631.465309,7261.938017,20674.79723,7744.891981,9429.874384,467377.2885,2611468.302,781067.846,470737.6733,146326.3225,105493.5984
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S2-N3-E1-M1,5600,0,-0.001942674,0.037120248,49909.97752,4610178.36,381643235.3,18007950.11,65.97383327,4648.61143,7289.795618,20689.48012,7763.37303,9452.743482,468024.2364,2630610.051,786795.5588,471518.4635,147140.2798,106089.7697
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S2-N3-E1-M1,5600,0,-0.00327312,0.225030672,49843.44574,4591636.269,450791188.5,18007950.11,65.95150838,4637.548658,7271.817977,20679.68995,7751.005479,9437.432168,467626.7463,2617784.162,782978.4242,470984.9523,146581.6022,105680.3818
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S2-N3-E1-M1,5600,0,-0.000204636,0.038006859,49996.8918,4638457.937,381969493.6,18007950.11,66.010584,4665.244334,7317.082874,20700.78133,7777.530219,9470.242454,468700.0998,2650370.831,792835.7147,472162.0315,147809.6343,106579.6253
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S3-N3-E1-M1,5600,0,-0.003092818,0.413520078,49852.46214,4690019.646,520152197.4,18007950.11,71.17769055,4640.274676,7264.233927,20682.98328,7753.810826,9439.981741,561958.7645,2622565.977,781695.8741,471233.262,146773.5295,105792.2388
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S3-N3-E1-M1,5600,0,-0.000891386,0.037475605,49962.54939,4724443.552,381774000.9,18007950.11,71.3200883,4659.59231,7294.768615,20698.77391,7773.622272,9464.472201,564943.1816,2645077.256,788218.7509,472092.9197,147666.2506,106445.1937
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S3-N3-E1-M1,5600,0,-0.002315805,0.225252554,49891.31834,4702592.632,450872837.3,18007950.11,71.24742725,4647.431737,7275.582337,20688.34814,7760.486645,9448.222055,563418.9979,2630549.316,784045.9762,471513.88,147061.7782,106002.684
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S3-N3-E1-M1,5600,0,0.001074295,0.038500065,50060.84748,4762361.786,382150985.3,18007950.11,71.50200317,4679.166389,7326.202899,20711.2165,7789.139927,9483.619754,568910.2897,2669666.068,795547.8451,472821.7605,148420.1621,106995.66
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S1-N1-E2-M1,5600,0,-0.009412003,0.413288203,49536.45788,4555971.056,520066871,18007950.11,65.30067152,4622.891157,7249.010988,20609.91192,7662.030848,9327.312294,458925.1167,2602755,778784.7604,468235.2739,143699.9833,103570.9219
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S1-N1-E2-M1,5600,0,-0.00646465,-0.00126982,49683.84652,4586541.109,367516320,18007950.11,65.32173788,4641.172867,7279.049291,20691.11418,7670.072482,9337.115965,459263.2098,2622803.075,784889.0437,471715.1136,144048.3568,103822.3095
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S1-N1-E2-M1,5600,0,-0.008417361,0.205699916,49586.19704,4565435.528,443677787.4,18007950.11,65.30754328,4629.05205,7259.116614,20637.67769,7664.601545,9330.441593,459029.7414,2608938.645,780686.4735,469330.3489,143804.2648,103646.0538
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S1-N1-E2-M1,5600,0,-0.003538835,-0.000151527,49830.15809,4618943.808,367927833.5,18007950.11,65.33827881,4659.037931,7308.690979,20775.86017,7676.40576,9344.824971,459551.4956,2643903.345,791439.4613,475667.3025,144345.615,104036.5889
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S2-N1-E2-M1,5600,0,-0.009309513,0.413313031,49541.58311,4565777.952,520076007.2,18007950.11,65.88891116,4624.733534,7249.308537,20610.76548,7662.785732,9328.100915,466679.2196,2604644.583,778853.2614,468278.9492,143731.5246,103590.4135
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S2-N1-E2-M1,5600,0,-0.006305419,-0.001186518,49691.80918,4597682.648,367546974,18007950.11,65.92729488,4643.571742,7279.883782,20693.37455,7670.973716,9338.078096,467340.0297,2625473.218,785095.6957,471838.2275,144087.9947,103847.4823
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S2-N1-E2-M1,5600,0,-0.008287552,0.205749751,49592.68844,4575815.873,443696125.7,18007950.11,65.90399789,4631.131202,7259.67878,20639.26109,7665.414572,9331.298803,466929.9182,2611144.809,780821.1536,469413.3791,143838.9053,103667.7085
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S2-N1-E2-M1,5600,0,-0.003297969,-3.46E-05,49842.2031,4631847.486,367970876,18007950.11,65.96672902,4662.097862,7310.323145,20780.40057,7677.454174,9345.96062,468060.6881,2647541.15,791861.2739,475922.9159,144393.7579,104067.7006
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S3-N1-E2-M1,5600,0,-0.008769309,0.413413415,49568.59715,4669408.105,520112947.1,18007950.11,71.02993398,4632.891752,7250.852998,20615.07237,7666.713746,9332.036345,559191.2434,2614761.152,779277.7775,468541.3365,143929.7297,103706.8659
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S3-N1-E2-M1,5600,0,-0.005506979,-0.000835884,49731.73687,4708501.812,367676001.5,18007950.11,71.1841549,4653.934273,7283.985085,20704.53633,7675.444409,9342.652622,562404.9037,2638972.485,786275.8819,472544.1872,144318.1723,103986.1812
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S3-N1-E2-M1,5600,0,-0.00760718,0.205963734,49626.71189,4683111.767,443774867.9,18007950.11,71.10594883,4640.356713,7262.625417,20647.54433,7669.574387,9335.505095,560772.5645,2622899.787,781663.4806,469931.824,144050.6274,103793.484
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S3-N1-E2-M1,5600,0,-0.002088203,0.00047599,49902.70002,4753484.636,368158749.5,18007950.11,71.38986166,4675.472351,7318.524339,20803.57735,7682.513916,9351.22221,566876.9494,2665967.216,794314.8206,477433.5088,144660.5248,104231.6164
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W1-S1-N2-E2-M1,5600,0,-0.006873077,0.413334788,49663.42225,4563625.216,520084013.6,18007950.11,65.31610017,4626.067302,7255.028302,20640.35437,7701.019667,9375.636511,459127.0322,2605916.165,779824.4302,469385.8482,144911.9673,104459.7729
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W2-S1-N2-E2-M1,5600,0,-0.003369739,-0.001149768,49838.6141,4596966.177,367560497.2,18007950.11,65.3396692,4645.276946,7286.773396,20729.02278,7716.921263,9395.280048,459511.1589,2627263.633,786346.556,473267.8676,145608.139,104968.8227
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W3-S1-N2-E2-M1,5600,0,-0.005698899,0.205774025,49722.1395,4573948.948,443705058.2,18007950.11,65.32382275,4632.53567,7265.702934,20670.58109,7706.095666,9381.900324,459246.5306,2612505.806,781858.401,470605.7891,145120.4064,104612.015
W4-S3-N3-E2-M4,W1-S1-N1-E2-M1,W2-S1-N1-E2-M1,W4-S1-N2-E2-M1,5600,0,0,0,50007.12507,4631812.587,367983593.1,18007950.11,65.35823787,4663.908713,7317.855953,20820.02503,7729.353381,9410.623753,459838.9225,2649514.444,793278.5758,477583.7333,146197.4173,105399.4934
